[JavaFX Application Thread] ERROR KursovProektOOP2.controllers.Main  - View couldn't be loaded
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
